id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
506035,12.8 mi,2021-10-09,09:00,15490,31,44.02,-75.72,43.98,-75.92,OTP
506036,23.9 mi,2021-10-09,06:00,62,16,44.23,-76.09,43.95,-75.92,FIDLS
506037,115 mi,2021-10-09,06:15,7235,385,43.3,-76.24,44.69,-75.5,STLAW
506038,30.8 mi,2021-10-09,06:30,6528,157,44.65,-75.0,44.69,-75.5,STLAW
506039,31.2 mi,2021-10-09,10:00,10760,154,44.75,-75.0,44.69,-75.5,STLAW
506040,55.0 mi,2021-10-09,11:15,12284,198,44.2,-75.06,43.95,-75.91,STLAW
506041,72.3 mi,2021-10-09,07:30,12920,66,43.96,-75.92,43.0,-76.14,SRVC
506042,1.6 mi,2021-10-09,09:45,515,564,44.94,-74.89,44.92,-74.89,STLAW
506043,2.2 mi,2021-10-09,05:50,5935,14,43.97,-75.92,43.95,-75.91,FIDLS
506044,5.9 mi,2021-10-09,15:00,11932,564,44.74,-75.0,44.67,-74.99,FMLM
506045,47.1 mi,2021-10-09,10:45,11898,309,44.15,-75.32,44.69,-75.5,SOTP
506046,195 mi,2021-10-09,14:00,14231,59,42.82,-76.49,44.93,-74.89,""
506047,195 mi,2021-10-09,14:00,14279,59,42.82,-76.49,44.93,-74.89,""
506048,13.4 mi,2021-10-09,13:30,5142,385,44.69,-75.5,44.53,-75.59,FMLM
506049,32.7 mi,2021-10-09,13:00,13616,157,44.93,-74.29,44.93,-74.88,""
506050,32.7 mi,2021-10-09,13:00,13614,157,44.93,-74.29,44.93,-74.88,""
506051,32.7 mi,2021-10-09,13:00,13615,157,44.93,-74.29,44.93,-74.88,""
506052,2.0 mi,2021-10-09,07:30,1867,186,44.65,-74.97,44.67,-74.99,FMLM
506053,8.1 mi,2021-10-09,10:00,15557,71,44.01,-75.78,43.97,-75.91,PWD
506054,15.9 mi,2021-10-09,10:00,11009,226,44.74,-74.78,44.92,-74.89,STLAW
506055,14.6 mi,2021-10-09,08:00,13482,816,44.16,-75.81,43.98,-75.92,MCD
506056,14.6 mi,2021-10-09,08:00,13481,816,44.16,-75.81,43.98,-75.92,MCD
506057,16.4 mi,2021-10-09,05:30,107,362,43.98,-75.61,43.95,-75.91,MCD
506058,15.0 mi,2021-10-09,11:00,4650,31,44.02,-75.66,43.98,-75.92,MCD
506059,2.7 mi,2021-10-09,09:15,14621,66,43.95,-75.92,43.98,-75.92,MCD
506060,46.6 mi,2021-10-09,06:15,298,157,44.98,-74.73,44.69,-75.5,STLMCD
506061,31.4 mi,2021-10-09,06:15,9564,157,44.68,-74.97,44.69,-75.5,STLMCD
506062,10.2 mi,2021-10-09,06:25,115,66,44.01,-76.04,43.95,-75.91,MCD
506063,30.8 mi,2021-10-09,08:00,4998,65,43.89,-75.39,43.98,-75.92,LMCD
506064,4.5 mi,2021-10-09,07:00,1832,938,44.04,-75.9,43.98,-75.92,MCD
506065,12.4 mi,2021-10-09,06:40,9186,362,43.81,-76.02,43.95,-75.91,MCD
506066,58.5 mi,2021-10-09,06:15,7686,16,43.98,-75.86,43.45,-76.51,MCD
506067,16.4 mi,2021-10-09,11:00,5961,815,43.81,-76.03,43.98,-75.92,MCD
506068,11.6 mi,2021-10-09,10:30,15136,816,44.12,-75.97,43.98,-75.92,MCD
506069,69.7 mi,2021-10-09,07:15,9448,350,43.98,-75.91,43.09,-76.19,MCD70
506070,50.8 mi,2021-10-09,10:15,753,49,44.61,-75.59,43.98,-75.92,STLMCD
506071,32.4 mi,2021-10-09,06:00,88,134,43.58,-75.34,43.21,-75.46,LMCD
506072,17.5 mi,2021-10-09,07:15,10494,768,42.61,-78.81,42.8,-78.8,EMCD
506073,34.8 mi,2021-10-09,06:45,94,161,43.75,-75.37,43.98,-75.92,LMCD
